input_location,latitude,longitude,bbl,fireBattalion,censusTract2010
68-22 MAIN ST,40.732369188581636,-73.82476385206535,4064860039,52, 809  
210-39 90 AVE,40.72001501147058,-73.7529268104707,4105760077,54, 492  
210-39 90 AVE,40.72001501147058,-73.7529268104707,4105760077,54, 492  
41-18 60 ST,40.74359276135605,-73.90433399018903,4013320099,46, 249  
41-18 60 ST,40.74359276135605,-73.90433399018903,4013320099,46, 249  
182 BEACH 92 ST,40.585949887572134,-73.81504921372759,4161340013,47, 94203
2679 DECATUR AVE,40.864330833089554,-73.8893264565085,2032820042,27, 40502
963 BERGEN ST,40.67666521588494,-73.95501443545079,3012110074,57, 221  
963 BERGEN ST,40.67666521588494,-73.95501443545079,3012110074,57, 221  
2240 GRAND CONCOURSE,40.85634576963205,-73.90058579808522,2031580005,18, 38301
2240 GRAND CONCOURSE,40.85634576963205,-73.90058579808522,2031580005,18, 38301
134-59 176 ST,40.674016734295854,-73.76542652309787,4125710055,54, 33402
5402 CHURCH AVE,40.65239210499055,-73.9263907736733,3047020001,58, 938  
791 KENT AVE,40.69718693814953,-73.95991958212532,3018840012,31,1237  
68-01 OTTO RD,40.706223014951334,-73.88637891098658,4036670571,51, 61301
511 W 25TH ST,40.74936345461059,-74.00413244739713,1006970023,07,  99  
91-44 193 ST,40.712068084048795,-73.76701681552252,4108200062,54, 500  
91-44 193 ST,40.712068084048795,-73.76701681552252,4108200062,54, 500  
8 STONE ST,40.70402494613498,-74.01263777088298,1000100033,01,   9  
165 SAINTANNS AVE,NA,NA,NA,NA,NA
4251 BYRON AVE,40.89448140097906,-73.85477362201247,2049990085,15, 434  
105-11 LIVERPOOL ST,40.69406753605775,-73.8052507284212,4100530032,50, 204  
105-11 LIVERPOOL ST,40.69406753605775,-73.8052507284212,4100530032,50, 204  
1948 85 ST,40.60587775381371,-73.99875392681376,3063450026,42, 284  
279 CHURCH ST,40.71867158359174,-74.00498190551417,1001750016,01,  33  
279 CHURCH ST,40.71867158359174,-74.00498190551417,1001750016,01,  33  
1948 85 ST,40.60587775381371,-73.99875392681376,3063450026,42, 284  
1948 85 ST,40.60587775381371,-73.99875392681376,3063450026,42, 284  
2719 W 33 ST,40.579472790587616,-74.00041399353633,3069640002,43, 330  
2719 W 33 ST,40.579472790587616,-74.00041399353633,3069640002,43, 330  
417 OCEAN AVE,40.652672712733256,-73.96149239538896,3050620001,41, 50803
417 OCEAN AVE,40.652672712733256,-73.96149239538896,3050620001,41, 50803
2865 UNIVERSITY AVE,40.87276028685954,-73.89882927681202,2032500121,19, 26702
2865 UNIVERSITY AVE,40.87276028685954,-73.89882927681202,2032500121,19, 26702
184-17 140 AVE,40.67237783100026,-73.75997436023493,4130220115,54, 330  
184-17 140 AVE,40.67237783100026,-73.75997436023493,4130220115,54, 330  
BRUCKNER BLVD,NA,NA,NA,NA,NA
BRUCKNER BLVD,NA,NA,NA,NA,NA
E 24 ST,NA,NA,NA,NA,NA
1170 LINCOLN PL,40.67010269088284,-73.93783460798147,3013880027,38, 337  
1170 LINCOLN PL,40.67010269088284,-73.93783460798147,3013880027,38, 337  
825 MORRISON AVE,40.82084016191079,-73.87264889941089,2036270030,03,  28  
825 MORRISON AVE,40.82084016191079,-73.87264889941089,2036270030,03,  28  
103-18 MARTENSE AVE,40.74073182982131,-73.85598926850207,4019530007,46, 439  
103-19 MARTENSE AVE,40.74055098756389,-73.8562386563633,4019440019,46, 439  
38-10 214 PL,40.76664593440321,-73.7702554602204,4062390028,53,1123  
38-10 214 PL,40.76664593440321,-73.7702554602204,4062390028,53,1123  
4714 NEW UTRECHT AVE,40.63809599194801,-73.99457372179101,3056270019,48, 222  
627 WEST RD,40.60782477166819,-73.81600783144401,4154590007,47,107201
627 WEST RD,40.60782477166819,-73.81600783144401,4154590007,47,107201
1907 CONEY ISLAND AVE,40.610946784662055,-73.9625465335866,3067580066,33, 542  
130 E 18 ST,40.73633068167806,-73.98666689384287,1008730019,06,  50  
130 E 18 ST,40.73633068167806,-73.98666689384287,1008730019,06,  50  
2022 78 ST,40.60870742452202,-73.99288699752336,3062630014,42, 272  
90-44 148TH STREET,40.70231586323667,-73.80704795858978,4096770184,50, 240  
48 E 7 ST,40.7278193195238,-73.98776541588617,1004480007,04,  38  
2024 78 ST,40.60868820917038,-73.992858187417,3062630017,42, 272  
1753 W 12 ST,40.6040322351607,-73.98466940187437,3066450071,43, 428  
48 E 7 ST,40.7278193195238,-73.98776541588617,1004480007,04,  38  
48 E 7 ST,40.7278193195238,-73.98776541588617,1004480007,04,  38  
420 CENTRAL PARK W,40.795584097160265,-73.96183590265701,1018387501,11, 189  
420 CENTRAL PARK W,40.795584097160265,-73.96183590265701,1018387501,11, 189  
71-15 BEACH CHANNEL DR,40.59203463728694,-73.80001053365655,4160830037,47, 954  
1092 BROADWAY,40.694387087558674,-73.93065736510489,3016000013,57, 289  
35-30 81 ST,40.75134328086408,-73.88555845104135,4012800012,49, 283  
2601 E 19TH ST,40.58828666841099,-73.95050503838587,3074640001,43, 600  
35-30 81 ST,40.75134328086408,-73.88555845104135,4012800012,49, 283  
2601 E 19TH ST,40.58828666841099,-73.95050503838587,3074640001,43, 600  
315 W 57 ST,40.76702204441712,-73.98358135015948,1010480020,09, 139  
152 9 ST,40.672114687409874,-73.992393567802,3010080019,48, 121  
152 9 ST,40.672114687409874,-73.992393567802,3010080019,48, 121  
280 MCBAINE AVE,40.542703253799374,-74.21602911369644,5070770035,23, 20801
280 MCBAINE AVE,40.542703253799374,-74.21602911369644,5070770035,23, 20801
245-32 147 RD,40.656654981332174,-73.74068399636236,4136350023,54, 664  
2230 ANDREWS AVE,40.85944884575357,-73.90913810239064,2032170022,19, 255  
2230 ANDREWS AVE,40.85944884575357,-73.90913810239064,2032170022,19, 255  
196-25 JAMAICA AVE,40.68034596361999,-73.89277570064671,3039170006,44,1146  
1700 DITMAS AVE,40.63798819618779,-73.96173507086007,3052030001,41, 518  
854 REVERE AVE,40.8283593223571,-73.82546860732195,2055430005,20, 152  
1700 DITMAS AVE,40.63798819618779,-73.96173507086007,3052030001,41, 518  
854 REVERE AVE,40.8283593223571,-73.82546860732195,2055430005,20, 152  
189 BAY 47 ST,40.58792615789304,-73.98803947285792,3069150067,43, 314  
189 BAY 47 ST,40.58792615789304,-73.98803947285792,3069150067,43, 314  
109 LEWIS AVE,40.69332032849809,-73.93709895439275,3015980001,57, 289  
109 LEWIS AVE,40.69332032849809,-73.93709895439275,3015980001,57, 289  
558 GRASSMERE TER,40.59977683285771,-73.7594431225079,4157720029,47, 99801
558 GRASSMERE TER,40.59977683285771,-73.7594431225079,4157720029,47, 99801
2945 W 23 ST,40.57510261921753,-73.98988481977605,3070570012,43, 326  
251 W 30 ST,40.74908614731829,-73.99389338699265,1007800010,07, 101  
2838 W 19 ST,40.57747098003659,-73.98602543697878,3070190026,43, 326  
2840 W 19 ST,40.577451765976335,-73.98602184116396,3070190027,43, 326  
BRONXWOOD AVE,NA,NA,NA,NA,NA
3602 AVE J,40.62734067605141,-73.94109869976856,3076180042,33, 740  
39-10 56 ST,40.74787704891791,-73.90736304553691,4012260051,49, 255  
1458 41 ST,40.637419791647346,-73.98401678198147,3053440029,48, 230  
517 POWELL ST,40.661423300362735,-73.90181703916505,3038310114,44, 918  
517 POWELL ST,40.661423300362735,-73.90181703916505,3038310114,44, 918  
188-19 LINDEN BLVD,40.652534502085174,-73.95165026085095,3050880016,41, 820  
188-19 LINDEN BLVD,40.652534502085174,-73.95165026085095,3050880016,41, 820  
1008 ST MARKS AVE,40.6745797620291,-73.9384685337293,3013520080,38, 343  
1008 ST MARKS AVE,40.6745797620291,-73.9384685337293,3013520080,38, 343  
172-34 AMELIA RD,40.68337699596576,-73.77253622214121,4123890308,50, 282  
172-34 AMELIA RD,40.68337699596576,-73.77253622214121,4123890308,50, 282  
281 BROOK AVE,40.808637557936,-73.91860677721063,2022840062,14,  39  
539 E 55 ST,40.64433783111742,-73.92472766073473,3047760089,58, 946  
539 E 55 ST,40.64433783111742,-73.92472766073473,3047760089,58, 946  
410 ST NICHOLAS AVE,40.814224280192775,-73.94952055422276,1019580001,11, 215  
NA,NA,NA,NA,NA,NA
20-29 125 ST,40.78143073562682,-73.84321626669733,4041700009,52, 925  
20-29 125 ST,40.78143073562682,-73.84321626669733,4041700009,52, 925  
290 FROST ST,40.71886726988827,-73.9397443746267,3028670001,35, 449  
290 FROST ST,40.71886726988827,-73.9397443746267,3028670001,35, 449  
640 DITMAS AVE,40.63620978211838,-73.97197943325529,3054007502,41, 484  
2320 HUGHES AVE,40.85361936331332,-73.88762725728849,2030870009,18, 391  
2320 HUGHES AVE,40.85361936331332,-73.88762725728849,2030870009,18, 391  
47-30 29 ST,40.66039467509998,-74.00380254789961,NA,40,  18  
1335 EAST 14,NA,NA,NA,NA,NA
67-75 AUSTIN ST,40.72323592847723,-73.85317337315627,4031670002,50, 71305
67-75 AUSTIN ST,40.72323592847723,-73.85317337315627,4031670002,50, 71305
38 FEATHERBED LA,40.845952483522396,-73.91550336533253,2028650110,17, 217  
38 FEATHERBED LA,40.845952483522396,-73.91550336533253,2028650110,17, 217  
803 FORBELL ST,40.66459489069703,-73.86061246591132,3045550001,39,1220  
619 W 114 ST,40.80717361951065,-73.96594362083314,1018960009,11, 205  
3075 RICHMOND TER,40.637962813357134,-74.16198462247642,5012080020,22, 31902
3075 RICHMOND TER,40.637962813357134,-74.16198462247642,5012080020,22, 31902
12 E 31 ST,40.74621160695459,-73.98520329010798,1008600074,07,  74  
3444 WHITE PLAINS RD,40.87683109300501,-73.86681022139398,2046290050,27, 374  
3444 WHITE PLAINS RD,40.87683109300501,-73.86681022139398,2046290050,27, 374  
80-03 257 ST,40.74397107180739,-73.71370000167987,4087130038,53,157902
80-03 257 ST,40.74397107180739,-73.71370000167987,4087130038,53,157902
88-49 161 ST,40.70730845290804,-73.80051952446998,4097670007,50, 44602
234-16 UNION TNPK,40.73772844330684,-73.73745639954821,4079200007,53,1301  
234-16 UNION TNPK,40.73772844330684,-73.73745639954821,4079200007,53,1301  
106 MULBERRY ST,40.71741183522097,-73.99838028001751,1002050004,04,  41  
106 MULBERRY ST,40.71741183522097,-73.99838028001751,1002050004,04,  41  
66-69 FOREST AVE,40.70549926613157,-73.90227510131679,4035010008,51, 587  
66-69 FOREST AVE,40.70549926613157,-73.90227510131679,4035010008,51, 587  
688 SENECA AVE,40.70300902523016,-73.90804212563015,4034530035,45, 549  
690 SENECA AVE,40.70298154012486,-73.90799527754446,4034530035,45, 549  
438A DECATUR ST,40.68239991399447,-73.9250704862669,3016830009,37, 381  
438 DECATUR ST,40.68239991399447,-73.9250704862669,3016830008,37, 381  
54-15 BEACH CHANNEL DRIVE,40.595021722764926,-73.78520953293334,4158920001,47, 97204
1942 JEROME AVE,40.851165806178024,-73.90974221994158,2028530015,19, 23301
2052 63 STREET,40.616896906548604,-73.98336974091231,3055420027,42, 254  
45-09 LITTLE NECK PKWY,40.77063040336402,-73.73529409473335,4082600002,53,150702
2052 63 STREET,40.616896906548604,-73.98336974091231,3055420027,42, 254  
45-09 LITTLE NECK PKWY,40.77063040336402,-73.73529409473335,4082600002,53,150702
257 SARATOGA AVE,40.677247487949586,-73.91639850322994,3015620007,44, 301  
257 SARATOGA AVE,40.677247487949586,-73.91639850322994,3015620007,44, 301  
429 FALCON AVE,40.56236213347208,-74.1146144798054,5040020001,23, 12806
429 FALCON AVE,40.56236213347208,-74.1146144798054,5040020001,23, 12806
1080 SUTTER AVE,40.67178488428723,-73.87882757231671,3040540022,39,1194  
1080 SUTTER AVE,40.67178488428723,-73.87882757231671,3040540022,39,1194  
19-24 22 DRIVE,40.77959014187322,-73.91870366646057,4008910076,49, 101  
33 LEE AVE WG,NA,NA,NA,NA,NA
464 PINE STREET,40.67404040373623,-73.8706327963748,3042500028,39,1196  
105-04 133 ST,40.68949617745254,-73.8127318834362,4095920008,50, 15801
990 ANDERSON AVE,40.8322753150208,-73.92717105659786,2025040075,17, 189  
990 ANDERSON AVE,40.8322753150208,-73.92717105659786,2025040075,17, 189  
21-13 24 RD,40.775746833106254,-73.92169067755556,4008740063,49,  95  
21-13 24 RD,40.775746833106254,-73.92169067755556,4008740063,49,  95  
226 DANIEL LOW TER,40.63886984401228,-74.07989261529335,5000240061,21,  11  
226 DANIEL LOW TER,40.63886984401228,-74.07989261529335,5000240061,21,  11  
2079 EDENWALD,NA,NA,NA,NA,NA
2138 BRUCKNER BLVD,40.8266475673002,-73.85163355124686,2036880027,03,  98  
2138 BRUCKNER BLVD,40.8266475673002,-73.85163355124686,2036880027,03,  98  
63 MORNINGSIDE AVE,40.80843836865045,-73.95613911536594,1019470064,11, 257  
70 MULBERRY ST,40.716091614144986,-73.99920278167988,1002000001,04,  29  
63 MORNINGSIDE AVE,40.80843836865045,-73.95613911536594,1019470064,11, 257  
1103 OLMSTEAD AVE,40.82950463810524,-73.85363988685403,2038000054,03,  78  
1103 OLMSTEAD AVE,40.82950463810524,-73.85363988685403,2038000054,03,  78  
1103 OLMSTEAD AVE,40.82950463810524,-73.85363988685403,2038000054,03,  78  
70 MULBERRY ST,40.716091614144986,-73.99920278167988,1002000001,04,  29  
70 MULBERRY ST,40.716091614144986,-73.99920278167988,1002000001,04,  29  
377 RECTOR PL,40.709505525794526,-74.01800236891756,1000167501,01, 31704
377 RECTOR PL,40.709505525794526,-74.01800236891756,1000167501,01, 31704
266 7 ST,40.72355244301104,-73.97762487964957,1003760025,04,  2602
266 7 ST,40.72355244301104,-73.97762487964957,1003760025,04,  2602
131-25 41 AVE,40.75552263677965,-73.83502962108037,4050600001,52, 849  
30-22 153 ST,40.82585675788525,-73.92930991369212,2025390132,14,  63  
101-08 113 ST,40.688223218272384,-73.8308547166754,4094300007,51, 108  
101-08 113 ST,40.688223218272384,-73.8308547166754,4094300007,51, 108  
1181 E 24TH ST,40.622034483366384,-73.95178402395787,3076240011,33, 754  
155 5 AVE,40.74049483712462,-73.99033605146447,1008500004,06,  56  
155 5 AVE,40.74049483712462,-73.99033605146447,1008500004,06,  56  
155 5 AVE,40.74049483712462,-73.99033605146447,1008500004,06,  56  
360 COLUMBIA ST,40.67962726482206,-74.00529986489975,3005120035,32,  59  
360 COLUMBIA ST,40.67962726482206,-74.00529986489975,3005120035,32,  59  
184 COLUMBIA HEIGHTS,40.69749030544716,-73.9967290711564,3002080319,32,   301
2008 HUGHES AVE,40.84726079615339,-73.89145123199211,2030790022,18, 373  
2008 HUGHES AVE,40.84726079615339,-73.89145123199211,2030790022,18, 373  
601 KAPPOCK ST,40.87897482210788,-73.91668727693269,2057240685,27, 29302
601 KAPPOCK ST,40.87897482210788,-73.91668727693269,2057240685,27, 29302
601 KAPPOCK ST,40.87897482210788,-73.91668727693269,2057240685,27, 29302
601 KAPPOCK ST,40.87897482210788,-73.91668727693269,2057240685,27, 29302
155-47 116 RD,40.68365665144931,-73.78819069423825,4122240086,50, 274  
2820 W 8 ST,40.57906685744139,-73.97628371413792,3072680001,43, 350  
98-23 HORACE HARDING EXPY N,40.735656138044284,-73.85992255485795,4019180085,46, 455  
98-23 HORACE HARDING EXPY N,40.735656138044284,-73.85992255485795,4019180085,46, 455  
235 E 96 ST,40.78469039089141,-73.94812380677527,1016467501,10, 15602
235 E 96 ST,40.78469039089141,-73.94812380677527,1016467501,10, 15602
757 OCEAN PKWY,40.62983078352187,-73.97152817631755,3064940001,41, 460  
4615 FURMAN AVE,40.90199349872004,-73.85039460213885,2050870020,15, 434  
99 ROGERS AVE,40.67420503643768,-73.95286387544802,3012330011,57, 31701
4615 FURMAN AVE,40.90199349872004,-73.85039460213885,2050870020,15, 434  
54 EVELYN PL,40.85981400055992,-73.9058514592573,2032090009,19, 253  
54 EVELYN PL,40.85981400055992,-73.9058514592573,2032090009,19, 253  
144-16 69 AVE,40.73149178444131,-73.82356824908763,4066400009,52, 809  
116-25 130 ST,40.677213669338826,-73.80961540350138,4116860056,50, 178  
25 NEPTUNE AVE,40.58290880633099,-73.95525759477458,3087650043,43, 608  
829 RENSSELAER AVE,40.53883922447059,-74.20208967394592,5068840022,23, 20804
829 RENSSELAER AVE,40.53883922447059,-74.20208967394592,5068840022,23, 20804
829 RENSSELAER AVE,40.53883922447059,-74.20208967394592,5068840022,23, 20804
829 RENSSELAER AVE,40.53883922447059,-74.20208967394592,5068840022,23, 20804
634 REMSEN AVE,40.651563422685854,-73.91860380028821,3047100069,58, 934  
248 ADELPHI ST,40.690358613207145,-73.97131482212421,3020900058,31, 183  
248 ADELPHI ST,40.690358613207145,-73.97131482212421,3020900058,31, 183  
120 CASALS PL,40.878656698872945,-73.82406007433086,2051410120,15, 46201
172 COLON AVE,40.553563629733326,-74.15547534061635,5054550100,23, 14604
172 COLON AVE,40.553563629733326,-74.15547534061635,5054550100,23, 14604
128-55 234 ST,40.681742970394076,-73.73256063833395,4128750012,54, 61601
128-55 234 ST,40.681742970394076,-73.73256063833395,4128750012,54, 61601
646 ST NICHOLAS AVE,40.822322145826455,-73.94556169958358,1020510025,16, 227  
646 ST NICHOLAS AVE,40.822322145826455,-73.94556169958358,1020510025,16, 227  
50 BRADFORD ST,40.67849133791299,-73.89368361072147,3036630035,44,1146  
2247 RYER AVE,40.856127989351926,-73.89949080279352,2031580041,18, 38301
414 BEACH 118 ST,40.58109333180367,-73.83998572673444,4161990023,47, 93402
413 BEACH 118 ST,40.581076883072136,-73.84000016628856,4162000012,47, 93402
2803 COLLIS PL,40.81476785542623,-73.81861487259079,2055920105,20, 132  
2803 COLLIS PL,40.81476785542623,-73.81861487259079,2055920105,20, 132  
2803 COLLIS PL,40.81476785542623,-73.81861487259079,2055920105,20, 132  
4729 RICHARDSON AVE,40.90456857820289,-73.85083376517696,2051060080,15, 414  
4729 RICHARDSON AVE,40.90456857820289,-73.85083376517696,2051060080,15, 414  
282 SIMONSON AVE,40.629560174356016,-74.15255770533012,5011940116,22, 231  
282 SIMONSON AVE,40.629560174356016,-74.15255770533012,5011940116,22, 231  
100-32 198 ST,40.87063499493415,-73.89178910914211,NA,27, 40303
100-32 198 ST,40.87063499493415,-73.89178910914211,NA,27, 40303
343 LINDEN ST,40.699530065167295,-73.91339165127636,3033280049,28, 441  
343 LINDEN ST,40.699530065167295,-73.91339165127636,3033280049,28, 441  
1564 TAYLOR AVE,40.83949212679671,-73.8667910115478,2039250025,20, 21601
1564 TAYLOR AVE,40.83949212679671,-73.8667910115478,2039250025,20, 21601
2100 ANTHONY AVE,40.85356071752028,-73.90154426289172,2031560136,17, 381  
98-04 CORONA AVE,40.7446814232523,-73.86496322173338,4018810002,46, 411  
25-73 STEINWAY ST,40.767527596048296,-73.91202524625052,4006840016,49, 143  
155-01 115 RD,40.685150809711615,-73.7902339627329,4121900001,50, 274  
155-01 115 RD,40.685150809711615,-73.7902339627329,4121900001,50, 274  
100-26 67RD,40.725700873576734,-73.85329060916165,4031710019,50, 71305
100-26 67RD,40.725700873576734,-73.85329060916165,4031710019,50, 71305
132-14 CRONSTON AVE,40.57880763582639,-73.85285009373227,4162440043,47, 928  
132-14 CRONSTON AVE,40.57880763582639,-73.85285009373227,4162440043,47, 928  
132-14 CRONSTON AVE,40.57880763582639,-73.85285009373227,4162440043,47, 928  
150-37 121 AVE,40.67739196347646,-73.79059004925415,4122120048,50, 288  
150-37 121 AVE,40.67739196347646,-73.79059004925415,4122120048,50, 288  
455 E 148 ST,40.814674468486714,-73.91653656075259,2022930058,14,  43  
455 E 148 ST,40.814674468486714,-73.91653656075259,2022930058,14,  43  
112 E 198 ST,40.87059376350514,-73.89172409351404,2033150049,27, 40303
112 E 198 ST,40.87059376350514,-73.89172409351404,2033150049,27, 40303
1998 MORRIS AVE,40.851660368541374,-73.9069365594889,2028070015,19, 241  
1998 MORRIS AVE,40.851660368541374,-73.9069365594889,2028070015,19, 241  
1998 MORRIS AVE,40.851660368541374,-73.9069365594889,2028070015,19, 241  
1350 GRAND CONCOURSE,40.83767378804896,-73.91461762857192,2028310036,17, 17902
97-29 125 ST,40.692430425101485,-73.82141782974813,4094680031,50, 154  
97-29 125 ST,40.692430425101485,-73.82141782974813,4094680031,50, 154  
752 NOSTRAND AVE,40.672924858371964,-73.95022232362689,3012400041,38, 31701
515 E 72 ST,40.766659666545216,-73.95327135971469,1014847501,10, 124  
515 E 72 ST,40.766659666545216,-73.95327135971469,1014847501,10, 124  
1978 STRAUSS ST,40.66569135693241,-73.91555148806579,3035370033,44, 902  
123-25 82 AVE,40.712357456509416,-73.82863641111192,4033587501,50, 216  
1978 STRAUSS ST,40.66569135693241,-73.91555148806579,3035370033,44, 902  
123-25 82 AVE,40.712357456509416,-73.82863641111192,4033587501,50, 216  
2402 BENSON AVE,40.597453627621476,-73.99101572148616,3068760042,43, 302  
1910 STORY AVE,40.82414020125746,-73.85924489623933,2036450001,03,  42  
1910 STORY AVE,40.82414020125746,-73.85924489623933,2036450001,03,  42  
768 45 ST,40.64439539164655,-74.00160713716042,3007500034,48,  94  
768 45 ST,40.64439539164655,-74.00160713716042,3007500034,48,  94  
265 CHERRY ST,40.71130148733445,-73.98904895523961,1002470001,04,   6  
133-42 117 ST,40.67237566520988,-73.8222790402666,4117370055,51, 838  
55 WATER ST,40.703597040981926,-74.00978122562515,1000327501,01,   9  
55 WATER ST,40.703597040981926,-74.00978122562515,1000327501,01,   9  
5221 AVE N,40.619096702547516,-73.92465886868524,3078770002,58, 680  
651 E 165 ST,40.82541420414955,-73.90541595578948,2026330058,26, 185  
2175 RYER AVE,40.854698525135476,-73.90009664163529,2031570059,18, 381  
2175 RYER AVE,40.854698525135476,-73.90009664163529,2031570059,18, 381  
2060 GRANDCONCOURSE,40.85279093640049,-73.90329493588406,2031560003,17, 23502
819 AVE U,40.59813963958142,-73.96277697643302,3071110040,33, 394  
187-22 UNION TNPK,40.72900203065749,-73.78177580437915,4072560114,50,1277  
127-01 POWELLS COVE BLVD,40.79386344556475,-73.84052527985442,4039250001,52, 939  
187-22 UNION TNPK,40.72900203065749,-73.78177580437915,4072560114,50,1277  
173-31 103 RD,40.704078342804905,-73.784057469774055,4102320052,50, 440  
173-31 103 RD,40.704078342804905,-73.784057469774055,4102320052,50, 440  
666 9TH AVE,40.76118750953095,-73.99060378152298,1010370003,09, 127  
1518 BEDFORD AVE,40.671386937613015,-73.95482333066376,3012520082,38, 219  
1518 BEDFORD AVE,40.671386937613015,-73.95482333066376,3012520082,38, 219  
3011 BEVERLEY RD,40.64515252342653,-73.94875119874031,3049150038,41, 826  
3011 BEVERLEY RD,40.64515252342653,-73.94875119874031,3049150038,41, 826  
64-20 192 ST,40.73856283978963,-73.78219916791839,NA,52,1347  
